Time_s,Flow_l_min,Pressure_kPa,Estimated_Temp_C
12,0.5,0.3,26.3
15,0.5,0.3,26.7
18,0.64,0.54,28.1
21,0.52,0.3,28.0
24,0.5,0.3,27.6
27,0.55,0.3,28.6
30,0.5,0.3,28.3
33,0.57,0.42,28.7
36,0.62,0.46,29.5
39,0.5,0.3,28.5
42,0.59,0.48,29.0
45,0.57,0.31,30.1
48,0.61,0.44,30.2
51,0.73,0.48,31.3
54,0.55,0.3,30.9
57,0.51,0.3,31.0
60,0.56,0.3,33.1
63,0.54,0.33,32.4
66,0.62,0.3,33.0
69,0.64,0.64,32.4
72,0.65,0.3,33.3
75,0.72,0.36,34.1
78,0.64,0.54,33.7
81,0.79,0.71,34.9
84,0.65,0.49,34.7
87,0.91,0.84,35.3
90,0.74,0.54,35.4
93,0.68,0.34,37.3
96,0.64,0.4,36.5
99,0.75,0.47,36.2
102,0.74,0.65,37.7
105,0.79,0.59,36.9
108,0.8,0.53,38.1
111,0.73,0.49,37.1
114,0.69,0.52,37.9
117,0.68,0.38,39.2
120,0.78,0.49,39.8
123,0.88,0.77,39.9
126,0.84,0.7,40.1
129,0.73,0.46,40.3
132,0.83,0.61,40.0
135,0.87,0.75,40.8
138,0.79,0.43,41.3
141,0.9,0.6,42.6
144,0.89,0.67,42.5
147,0.77,0.56,41.6
150,0.94,0.85,43.2
153,0.95,1.01,43.1
156,1.0,1.0,43.3
159,1.03,0.92,44.4
162,0.85,0.69,45.1
165,0.9,0.63,45.4
168,0.99,0.89,44.7
171,1.01,0.88,45.3
174,1.03,0.98,46.1
177,1.32,1.25,46.8
180,1.04,1.02,46.3
183,1.1,1.23,46.8
186,1.08,1.0,46.7
189,1.07,1.04,47.0
192,1.03,1.03,48.5
195,1.14,1.05,49.2
198,1.0,0.93,48.7
201,1.07,1.0,49.7
204,1.05,0.99,49.7
207,1.09,0.93,49.5
210,1.3,1.32,50.4
213,0.99,0.95,51.5
216,1.18,1.33,50.9
219,1.03,1.06,52.2
222,1.06,1.25,50.1
225,1.26,1.17,52.5
228,1.17,1.25,52.4
231,1.08,1.04,52.5
234,1.13,1.35,53.1
237,1.22,1.11,52.2
240,1.14,1.0,53.7
243,1.24,1.16,54.3
246,1.25,0.99,55.2
249,1.17,1.07,54.2
252,1.39,1.36,54.3
255,1.28,1.31,54.7
258,1.1,1.08,55.8
261,1.27,1.51,55.7
264,1.2,1.29,55.4
267,1.34,1.31,56.3
270,1.21,1.09,56.3
273,1.29,1.36,57.0
276,1.32,1.18,56.3
279,1.36,1.62,56.7
282,1.2,1.32,56.9
285,1.26,1.2,56.5
288,1.28,1.09,57.8
291,1.27,1.44,58.0
294,1.47,1.54,58.1
297,1.36,1.56,58.2
300,1.22,1.01,57.8
303,1.41,1.41,58.6
306,1.52,1.63,58.9
309,1.43,1.5,58.8
312,1.23,1.17,59.0
315,1.32,1.42,59.2
318,1.48,1.45,60.0
321,1.29,1.29,58.9
324,1.38,1.45,58.8
327,1.4,1.52,58.5
330,1.23,1.31,57.2
333,1.33,1.22,58.3
336,1.07,0.81,58.2
339,1.28,1.45,59.5
342,1.3,1.36,57.8
345,1.22,1.12,58.0
348,1.45,1.71,57.7
351,1.18,1.16,56.9
354,1.29,1.45,58.1
357,1.33,1.37,57.8
360,1.43,1.75,57.7
363,1.17,1.35,56.5
366,1.41,1.45,57.8
369,1.27,1.39,56.0
372,1.22,1.28,57.1
375,1.36,1.57,57.9
378,1.28,1.18,55.9
381,1.22,1.29,56.0
384,1.28,1.42,56.3
387,1.23,1.01,55.8
390,1.25,1.11,55.1
393,1.32,1.1,55.9
396,1.37,1.39,55.1
399,1.17,1.22,55.9
402,1.41,1.65,55.0
405,1.12,1.08,56.3
408,1.22,1.41,54.8
411,1.29,1.13,55.0
414,1.28,1.08,55.5
417,1.17,1.13,54.2
420,1.22,1.26,54.9
423,1.21,1.2,55.5
426,1.15,0.87,53.6
429,1.3,1.3,54.6
432,1.25,1.1,54.5
435,1.18,1.23,54.7
438,1.27,1.32,53.3
441,1.21,1.09,53.2
444,1.28,1.23,54.2
447,1.26,1.14,53.9
