| Time (s) | Sensor 1 Temp (°C) | Mean Temp (°C) | Sensor 2 Temp (°C) |
| -------: | -----------------: | -------------: | -----------------: |
|        6 |               26.7 |           27.5 |               28.3 |
|        9 |               25.1 |           26.5 |               27.9 |
|       12 |               27.0 |           28.0 |               29.0 |
|       15 |               27.8 |           28.8 |               29.8 |
|       18 |               28.6 |           29.5 |               30.4 |
|       21 |               26.9 |           28.7 |               30.5 |
|       24 |               29.2 |           30.1 |               31.0 |
|       27 |               30.0 |           30.9 |               31.8 |
|       30 |               30.8 |           31.6 |               32.4 |
|       33 |               29.0 |           31.0 |               33.0 |
|       36 |               31.3 |           32.2 |               33.1 |
|       39 |               32.1 |           33.0 |               33.9 |
|       42 |               32.9 |           33.7 |               34.5 |
|       45 |               31.1 |           33.1 |               35.1 |
|       48 |               33.4 |           34.3 |               35.2 |
|       51 |               34.2 |           35.1 |               36.0 |
|       54 |               35.0 |           35.8 |               36.6 |
|       57 |               33.2 |           35.3 |               37.4 |
|       60 |               35.5 |           36.4 |               37.3 |
|       63 |               36.3 |           37.2 |               38.1 |
|       66 |               37.1 |           37.9 |               38.7 |
|       69 |               35.2 |           37.4 |               39.6 |
|       72 |               37.6 |           38.5 |               39.4 |
|       75 |               38.4 |           39.3 |               40.2 |
|       78 |               39.2 |           40.0 |               40.8 |
|       81 |               37.3 |           39.5 |               41.7 |
|       84 |               39.7 |           40.6 |               41.5 |
|       87 |               40.5 |           41.4 |               42.3 |
|       90 |               41.3 |           42.1 |               42.9 |
|       93 |               39.5 |           41.7 |               43.9 |
|       96 |               41.8 |           42.7 |               43.6 |
|       99 |               42.6 |           43.5 |               44.4 |
|      102 |               43.4 |           44.2 |               45.0 |
|      105 |               41.5 |           43.7 |               45.9 |
|      108 |               43.9 |           44.8 |               45.7 |
|      111 |               44.7 |           45.6 |               46.5 |
|      114 |               45.5 |           46.3 |               47.1 |
|      117 |               43.6 |           45.9 |               48.1 |
|      120 |               46.0 |           46.9 |               47.8 |
|      123 |               46.8 |           47.7 |               48.6 |
|      126 |               47.6 |           48.4 |               49.2 |
|      129 |               45.7 |           47.9 |               50.1 |
|      132 |               48.1 |           49.0 |               49.9 |
|      135 |               48.9 |           49.8 |               50.7 |
|      138 |               49.7 |           50.5 |               51.3 |
|      141 |               47.8 |           50.0 |               52.2 |
|      144 |               50.2 |           51.1 |               52.0 |
|      147 |               51.0 |           51.9 |               52.8 |
|      150 |               51.8 |           52.6 |               53.4 |
|      153 |               49.9 |           52.2 |               54.4 |
|      156 |               52.3 |           53.2 |               54.1 |
|      159 |               53.1 |           54.0 |               54.9 |
|      162 |               53.9 |           54.7 |               55.5 |
|      165 |               52.0 |           54.2 |               56.4 |
|      168 |               54.4 |           55.3 |               56.2 |
|      171 |               55.2 |           56.1 |               57.0 |
|      174 |               56.0 |           56.8 |               57.6 |
|      177 |               54.1 |           56.3 |               58.5 |
|      180 |               56.5 |           57.4 |               58.3 |
|      183 |               57.3 |           58.2 |               59.1 |
|      186 |               58.1 |           58.9 |               59.7 |
|      189 |               56.2 |           58.4 |               60.6 |
|      192 |               58.6 |           59.5 |               60.4 |
|      195 |               59.4 |           60.3 |               61.2 |
|      198 |               60.2 |           61.0 |               61.8 |
|      201 |               58.3 |           60.5 |               62.7 |
|      204 |               60.7 |           61.6 |               62.5 |
