Time_s,Sensor1_Temp_C,Mean_S1_S2_C,Sensor2_Temp_C
0,25.0,26.0,27.0
3,25.5,26.3,27.1
6,26.1,26.9,27.7
9,26.8,27.5,28.2
12,27.4,28.1,28.8
15,28.0,28.7,29.4
18,28.8,29.5,30.2
21,29.5,30.2,30.9
24,30.1,30.9,31.7
27,30.9,31.6,32.3
30,31.5,32.2,32.9
33,32.2,32.9,33.6
36,33.0,33.7,34.4
39,32.0,33.0,34.0
42,33.0,34.0,35.0
45,33.8,34.8,35.8
48,34.5,35.5,36.5
51,35.2,36.1,37.0
54,35.9,36.8,37.7
57,36.5,37.5,38.5
60,37.3,38.2,39.1
63,38.0,38.9,39.8
66,38.7,39.6,40.5
69,39.5,40.4,41.3
72,40.1,41.0,41.9
75,41.0,41.8,42.6
78,41.7,42.5,43.3
81,42.4,43.2,44.0
84,43.0,43.8,44.6
87,44.0,44.8,45.6
90,43.0,44.0,45.0
93,44.0,45.0,46.0
96,44.8,45.7,46.6
99,45.5,46.4,47.3
102,46.3,47.2,48.1
105,47.0,47.9,48.8
108,47.8,48.7,49.6
111,48.4,49.3,50.2
114,49.1,50.0,50.9
117,49.9,50.8,51.7
120,50.6,51.5,52.4
123,51.4,52.3,53.2
126,52.0,52.9,53.8
129,52.8,53.7,54.6
132,53.6,54.5,55.4
135,54.3,55.2,56.1
138,55.1,56.0,56.9
141,55.9,56.8,57.7
144,56.6,57.5,58.4
147,57.2,58.1,59.0
150,58.0,58.9,59.8
153,58.8,59.7,60.6
156,59.5,60.4,61.3
159,60.2,61.1,62.0
162,61.0,61.9,62.8
165,62.0,62.9,63.8
168,61.0,62.0,63.0
171,62.0,63.0,64.0
174,62.8,63.7,64.6
177,63.5,64.4,65.3
180,64.2,65.2,66.2
183,65.0,66.0,67.0
186,64.0,65.0,66.0
189,65.0,66.5,68.0
