Time_Seconds,CPU_Total_%,Service_CPU_%,Estimated_Power_W,Estimated_Temp_C
0,35.2,13.8,19.2,25.0
3,33.7,14.7,21.4,26.1
6,37.9,30.7,17.9,27.5
9,52.4,35.6,30.3,29.4
12,41.6,23.9,21.3,30.4
15,39.3,26.7,19.3,31.7
18,69.4,46.3,37.9,33.5
21,58.5,28.9,29.1,34.7
24,42.7,33.5,21.8,35.6
27,62.2,33.7,30.6,37.0
30,48.0,30.0,32.3,37.8
33,58.5,41.5,32.3,38.9
36,67.6,43.7,35.1,40.1
39,41.7,34.0,23.6,40.4
42,53.2,39.5,28.9,41.0
45,60.5,35.2,32.6,41.8
48,59.5,38.7,34.5,42.4
51,75.7,37.3,43.9,43.6
54,55.2,36.5,28.8,44.0
57,48.4,30.3,24.9,44.2
60,70.2,45.6,37.8,45.5
63,56.3,41.0,24.1,45.9
66,61.4,30.5,29.2,46.5
69,50.3,45.9,31.8,46.4
72,55.7,24.5,35.6,46.8
75,62.1,25.1,33.4,47.4
78,46.2,36.9,27.1,47.1
81,63.7,40.2,36.0,47.4
84,45.3,32.9,34.1,47.2
87,60.5,33.2,36.7,47.3
90,45.4,25.3,24.6,46.9
93,55.3,28.6,27.6,47.4
96,37.1,26.1,15.6,47.1
99,34.2,13.6,19.4,46.4
102,43.4,34.5,21.6,46.4
105,29.5,14.4,12.0,45.6
108,37.6,14.5,18.7,45.2
111,15.5,6.9,5.3,44.2
114,14.7,14.7,13.1,43.6
117,21.7,13.1,14.6,43.5
120,29.7,12.6,16.3,43.4
123,30.2,17.5,21.0,42.8
126,23.4,15.3,13.1,42.1
129,13.4,7.7,4.8,41.4
132,10.2,1.8,10.2,40.4
135,16.6,10.7,10.8,40.0
138,11.9,5.0,3.4,39.7
141,29.0,5.7,15.4,39.8
144,22.7,7.7,9.9,39.4
147,22.0,8.0,12.0,38.4
150,24.7,16.2,16.4,38.2
153,20.7,22.5,17.1,37.8
156,21.8,16.7,7.8,37.3
159,33.1,15.4,19.9,37.5
162,25.5,19.3,12.1,37.9
165,28.3,11.8,14.1,38.2
168,23.0,12.1,10.9,37.9
171,29.0,13.5,13.3,38.0
174,36.0,22.6,19.9,38.5
177,59.7,17.7,30.4,39.2
180,33.7,22.7,19.4,39.1
183,40.9,33.4,22.4,39.4
186,34.8,17.1,18.4,39.2
189,34.6,22.0,16.3,39.3
192,48.0,35.2,24.7,40.2
195,59.7,30.4,35.1,41.2
198,42.6,29.7,24.9,41.5
201,55.8,34.3,27.8,42.2
204,51.2,32.9,28.4,42.7
207,47.6,22.1,28.4,42.8
210,68.3,34.2,32.6,43.7
213,58.1,44.4,33.6,44.8
216,59.4,45.2,30.7,45.1
219,61.6,49.5,35.6,46.1
222,34.5,39.4,16.7,45.7
225,70.3,32.8,33.3,46.5
228,59.5,42.5,27.9,46.8
231,50.7,35.1,28.0,46.9
234,55.3,52.9,31.2,47.4
237,45.1,18.6,22.1,47.0
240,51.4,26.3,30.2,47.2
243,59.7,30.4,27.9,47.6
246,66.6,22.8,36.4,48.4
249,45.6,25.1,21.4,48.1
252,55.5,20.8,28.6,47.8
255,48.4,28.4,26.8,47.6
258,44.3,35.4,21.8,47.8
261,48.3,43.4,25.4,47.6
264,34.7,30.4,22.1,47.1
267,48.0,21.6,24.7,47.0
270,33.6,15.4,21.0,46.5
273,41.1,29.0,19.2,46.4
276,27.9,4.7,16.9,45.6
279,29.7,29.9,20.7,45.2
282,25.0,22.6,18.0,44.3
285,28.6,15.0,19.5,43.1
288,32.0,18.0,20.5,42.6
291,34.9,21.7,22.6,41.8
294,37.1,20.0,23.3,40.9
297,35.6,22.0,21.0,39.9
300,32.0,18.0,19.5,38.9
303,29.6,16.0,17.8,37.9
306,35.6,20.0,21.1,37.1
309,38.2,19.4,22.4,36.3
312,33.4,17.0,19.6,35.5
315,37.6,21.0,22.2,34.9
318,42.3,24.0,24.8,34.6
321,39.5,19.9,23.5,34.0
324,44.2,25.0,26.2,33.5
327,48.9,28.1,28.6,33.0
330,45.4,24.7,26.1,32.5
333,41.7,21.0,24.8,32.1
336,38.8,19.7,22.6,31.7
339,42.4,23.7,24.1,31.9
342,46.7,26.7,27.7,31.5
345,43.8,23.0,25.9,31.2
348,48.2,27.4,28.1,30.8
351,44.8,24.9,26.2,30.5
354,50.2,29.9,29.7,30.6
357,47.7,26.2,27.6,30.3
360,52.5,31.4,30.6,30.3
363,49.8,28.0,29.8,30.1
366,55.2,32.5,32.8,30.5
369,51.1,28.8,30.1,30.2
372,54.7,31.5,31.4,30.5
375,58.2,34.5,33.6,31.2
378,53.9,30.0,31.6,31.0
381,57.8,33.8,33.3,31.2
384,61.0,36.5,35.7,31.7
387,56.3,31.5,32.0,31.8
390,59.9,34.5,34.6,31.7
393,63.9,37.8,37.3,32.5
396,59.7,33.9,34.2,32.6
399,64.9,38.4,37.3,33.5
402,67.5,39.1,39.2,33.7
405,71.6,42.6,41.0,34.9
408,66.6,38.8,38.4,35.2
411,69.3,40.8,39.1,35.9
414,73.1,43.4,42.9,36.7
417,68.2,39.3,39.9,36.8
420,72.7,42.3,41.7,37.6
423,75.4,44.5,43.3,38.5
426,69.9,40.4,40.2,38.5
429,73.5,43.8,42.7,39.3
432,71.4,41.3,41.6,39.8
435,69.9,39.4,40.2,40.4
438,66.1,37.9,38.1,40.3
441,61.7,35.6,35.5,40.1
444,67.9,39.2,39.0,40.5
447,64.0,36.8,37.3,40.6
